"Year Month","State","Countym","Industry","Suspicious Activity","Regulator","Product","Instrument","Count"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Two or More Individuals Working Together","[Total]","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","[Total]","[Total]","Credit Card","[Total]","18"
"2020 January","California","Los Angeles County, CA","[Total]","[Total]","[Total]","Credit Card","[Total]","18"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Credit/Debit Card","SEC","Credit Card","Bank/Cashier's Check","1"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Credit/Debit Card","SEC","Credit Card","Funds Transfer","1"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Credit/Debit Card","SEC","Credit Card","U.S. Currency","1"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Credit/Debit Card","SEC","Credit Card","[Total]","3"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Credit/Debit Card","[Total]","Credit Card","[Total]","3"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Elder Financial Exploitation","SEC","Credit Card","Bank/Cashier's Check","1"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Elder Financial Exploitation","SEC","Credit Card","Funds Transfer","1"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Elder Financial Exploitation","SEC","Credit Card","U.S. Currency","1"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Elder Financial Exploitation","SEC","Credit Card","[Total]","3"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Elder Financial Exploitation","[Total]","Credit Card","[Total]","3"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Mass-Marketing","SEC","Credit Card","Bank/Cashier's Check","1"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Mass-Marketing","SEC","Credit Card","Funds Transfer","1"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Mass-Marketing","SEC","Credit Card","U.S. Currency","1"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Mass-Marketing","SEC","Credit Card","[Total]","3"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Mass-Marketing","[Total]","Credit Card","[Total]","3"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Wire","SEC","Credit Card","Bank/Cashier's Check","1"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Wire","SEC","Credit Card","Funds Transfer","1"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Wire","SEC","Credit Card","U.S. Currency","1"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Wire","SEC","Credit Card","[Total]","3"
"2020 January","California","Stanislaus County, CA","Securities/Futures","Wire","[Total]","Credit Card","[Total]","3"
"2020 January","California","Stanislaus County, CA","Securities/Futures","[Total]","[Total]","Credit Card","[Total]","12"
"2020 January","California","Stanislaus County, CA","[Total]","[Total]","[Total]","Credit Card","[Total]","12"
"2020 January","California","[Total]","[Total]","[Total]","[Total]","Credit Card","[Total]","34"
"2020 January","Colorado","Denver County, CO","Securities/Futures","Credit/Debit Card","SEC","Credit Card","U.S. Currency","1"
"2020 January","Colorado","Denver County, CO","Securities/Futures","Credit/Debit Card","SEC","Credit Card","[Total]","1"
"2020 January","Colorado","Denver County, CO","Securities/Futures","Credit/Debit Card","[Total]","Credit Card","[Total]","1"
"2020 January","Colorado","Denver County, CO","Securities/Futures","Elder Financial Exploitation","SEC","Credit Card","U.S. Currency","1"
"2020 January","Colorado","Denver County, CO","Securities/Futures","Elder Financial Exploitation","SEC","Credit Card","[Total]","1"
"2020 January","Colorado","Denver County, CO","Securities/Futures","Elder Financial Exploitation","[Total]","Credit Card","[Total]","1"
"2020 January","Colorado","Denver County, CO","Securities/Futures","Other Other Suspicious Activities","SEC","Credit Card","U.S. Currency","1"
"2020 January","Colorado","Denver County, CO","Securities/Futures","Other Other Suspicious Activities","SEC","Credit Card","[Total]","1"
"2020 January","Colorado","Denver County, CO","Securities/Futures","Other Other Suspicious Activities","[Total]","Credit Card","[Total]","1"
"2020 January","Colorado","Denver County, CO","Securities/Futures","[Total]","[Total]","Credit Card","[Total]","3"
"2020 January","Colorado","Denver County, CO","[Total]","[Total]","[Total]","Credit Card","[Total]","3"
"2020 January","Colorado","[Total]","[Total]","[Total]","[Total]","Credit Card","[Total]","3"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Check","SEC","Credit Card","Bank/Cashier's Check","1"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Check","SEC","Credit Card","Funds Transfer","1"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Check","SEC","Credit Card","U.S. Currency","1"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Check","SEC","Credit Card","[Total]","3"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Check","[Total]","Credit Card","[Total]","3"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Credit/Debit Card","SEC","Credit Card","Bank/Cashier's Check","1"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Credit/Debit Card","SEC","Credit Card","Funds Transfer","1"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Credit/Debit Card","SEC","Credit Card","U.S. Currency","1"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Credit/Debit Card","SEC","Credit Card","[Total]","3"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Credit/Debit Card","[Total]","Credit Card","[Total]","3"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Mass-Marketing","SEC","Credit Card","Bank/Cashier's Check","1"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Mass-Marketing","SEC","Credit Card","Funds Transfer","1"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Mass-Marketing","SEC","Credit Card","U.S. Currency","1"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Mass-Marketing","SEC","Credit Card","[Total]","3"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Mass-Marketing","[Total]","Credit Card","[Total]","3"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Suspicious use of multiple transaction locations","SEC","Credit Card","Bank/Cashier's Check","1"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Suspicious use of multiple transaction locations","SEC","Credit Card","Funds Transfer","1"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Suspicious use of multiple transaction locations","SEC","Credit Card","U.S. Currency","1"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Suspicious use of multiple transaction locations","SEC","Credit Card","[Total]","3"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","Suspicious use of multiple transaction locations","[Total]","Credit Card","[Total]","3"
"2020 January","Maryland","Anne Arundel County, MD","Securities/Futures","[Total]","[Total]","Credit Card","[Total]","12"
"2020 January","Maryland","Anne Arundel County, MD","[Total]","[Total]","[Total]","Credit Card","[Total]","12"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Check","SEC","Credit Card","Bank/Cashier's Check","1"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Check","SEC","Credit Card","Funds Transfer","1"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Check","SEC","Credit Card","U.S. Currency","1"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Check","SEC","Credit Card","[Total]","3"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Check","[Total]","Credit Card","[Total]","3"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Credit/Debit Card","SEC","Credit Card","Bank/Cashier's Check","1"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Credit/Debit Card","SEC","Credit Card","Funds Transfer","1"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Credit/Debit Card","SEC","Credit Card","U.S. Currency","1"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Credit/Debit Card","SEC","Credit Card","[Total]","3"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Credit/Debit Card","[Total]","Credit Card","[Total]","3"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Mass-Marketing","SEC","Credit Card","Bank/Cashier's Check","1"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Mass-Marketing","SEC","Credit Card","Funds Transfer","1"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Mass-Marketing","SEC","Credit Card","U.S. Currency","1"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Mass-Marketing","SEC","Credit Card","[Total]","3"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Mass-Marketing","[Total]","Credit Card","[Total]","3"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Suspicious use of multiple transaction locations","SEC","Credit Card","Bank/Cashier's Check","1"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Suspicious use of multiple transaction locations","SEC","Credit Card","Funds Transfer","1"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Suspicious use of multiple transaction locations","SEC","Credit Card","U.S. Currency","1"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Suspicious use of multiple transaction locations","SEC","Credit Card","[Total]","3"
"2020 January","Maryland","Harford County, MD","Securities/Futures","Suspicious use of multiple transaction locations","[Total]","Credit Card","[Total]","3"
"2020 January","Maryland","Harford County, MD","Securities/Futures","[Total]","[Total]","Credit Card","[Total]","12"
"2020 January","Maryland","Harford County, MD","[Total]","[Total]","[Total]","Credit Card","[Total]","12"
"2020 January","Maryland","[Total]","[Total]","[Total]","[Total]","Credit Card","[Total]","24"
"2020 January","Minnesota","Hennepin County, MN","Securities/Futures","Elder Financial Exploitation","SEC","Credit Card","Funds Transfer","1"
"2020 January","Minnesota","Hennepin County, MN","Securities/Futures","Elder Financial Exploitation","SEC","Credit Card","[Total]","1"
"2020 January","Minnesota","Hennepin County, MN","Securities/Futures","Elder Financial Exploitation","[Total]","Credit Card","[Total]","1"
"2020 January","Minnesota","Hennepin County, MN","Securities/Futures","[Total]","[Total]","Credit Card","[Total]","1"
"2020 January","Minnesota","Hennepin County, MN","[Total]","[Total]","[Total]","Credit Card","[Total]","1"
"2020 January","Minnesota","[Total]","[Total]","[Total]","[Total]","Credit Card","[Total]","1"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Account Takeover","FRB","Credit Card","Funds Transfer","3"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Account Takeover","FRB","Credit Card","[Total]","3"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Account Takeover","[Total]","Credit Card","[Total]","3"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","ACH","FRB","Credit Card","Funds Transfer","2"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","ACH","FRB","Credit Card","[Total]","2"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","ACH","[Total]","Credit Card","[Total]","2"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Against Financial Institution Customer(s)","FRB","Credit Card","Funds Transfer","3"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Against Financial Institution Customer(s)","FRB","Credit Card","[Total]","3"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Against Financial Institution Customer(s)","[Total]","Credit Card","[Total]","3"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Credit/Debit Card","FRB","Credit Card","Funds Transfer","5"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Credit/Debit Card","FRB","Credit Card","[Total]","5"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Credit/Debit Card","[Total]","Credit Card","[Total]","5"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Elder Financial Exploitation","FRB","Credit Card","Funds Transfer","1"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Elder Financial Exploitation","FRB","Credit Card","[Total]","1"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Elder Financial Exploitation","[Total]","Credit Card","[Total]","1"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Identity Theft","FRB","Credit Card","Funds Transfer","2"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Identity Theft","FRB","Credit Card","[Total]","2"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Identity Theft","[Total]","Credit Card","[Total]","2"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Other Fraud (Type)","FRB","Credit Card","Funds Transfer","6"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Other Fraud (Type)","FRB","Credit Card","[Total]","6"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Other Fraud (Type)","[Total]","Credit Card","[Total]","6"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Provided Questionable or False Documentation","FRB","Credit Card","Funds Transfer","1"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Provided Questionable or False Documentation","FRB","Credit Card","[Total]","1"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Provided Questionable or False Documentation","[Total]","Credit Card","[Total]","1"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Wire","FRB","Credit Card","Funds Transfer","1"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Wire","FRB","Credit Card","[Total]","1"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","Wire","[Total]","Credit Card","[Total]","1"
"2020 January","Missouri","St. Louis city, MO","Securities/Futures","[Total]","[Total]","Credit Card","[Total]","24"
"2020 January","Missouri","St. Louis city, MO","[Total]","[Total]","[Total]","Credit Card","[Total]","24"
"2020 January","Missouri","[Total]","[Total]","[Total]","[Total]","Credit Card","[Total]","24"
"2020 January","New York","New York County, NY","Securities/Futures","Account Takeover","SEC","Credit Card","Funds Transfer","1"
"2020 January","New York","New York County, NY","Securities/Futures","Account Takeover","SEC","Credit Card","Personal/Business Check","1"
"2020 January","New York","New York County, NY","Securities/Futures","Account Takeover","SEC","Credit Card","[Total]","2"
"2020 January","New York","New York County, NY","Securities/Futures","Account Takeover","[Total]","Credit Card","[Total]","2"
"2020 January","New York","New York County, NY","Securities/Futures","Against Financial Institution Customer(s)","SEC","Credit Card","Funds Transfer","2"
"2020 January","New York","New York County, NY","Securities/Futures","Against Financial Institution Customer(s)","SEC","Credit Card","Personal/Business Check","1"
"2020 January","New York","New York County, NY","Securities/Futures","Against Financial Institution Customer(s)","SEC","Credit Card","[Total]","3"
"2020 January","New York","New York County, NY","Securities/Futures","Against Financial Institution Customer(s)","[Total]","Credit Card","[Total]","3"
"2020 January","New York","New York County, NY","Securities/Futures","Credit/Debit Card","SEC","Credit Card","Funds Transfer","3"
"2020 January","New York","New York County, NY","Securities/Futures","Credit/Debit Card","SEC","Credit Card","Personal/Business Check","1"
"2020 January","New York","New York County, NY","Securities/Futures","Credit/Debit Card","SEC","Credit Card","[Total]","4"
"2020 January","New York","New York County, NY","Securities/Futures","Credit/Debit Card","[Total]","Credit Card","[Total]","4"
"2020 January","New York","New York County, NY","Securities/Futures","Elder Financial Exploitation","SEC","Credit Card","Funds Transfer","1"
"2020 January","New York","New York County, NY","Securities/Futures","Elder Financial Exploitation","SEC","Credit Card","[Total]","1"
"2020 January","New York","New York County, NY","Securities/Futures","Elder Financial Exploitation","[Total]","Credit Card","[Total]","1"
"2020 January","New York","New York County, NY","Securities/Futures","Identity Theft","SEC","Credit Card","Funds Transfer","2"
"2020 January","New York","New York County, NY","Securities/Futures","Identity Theft","SEC","Credit Card","Personal/Business Check","1"
"2020 January","New York","New York County, NY","Securities/Futures","Identity Theft","SEC","Credit Card","[Total]","3"
"2020 January","New York","New York County, NY","Securities/Futures","Identity Theft","[Total]","Credit Card","[Total]","3"
"2020 January","New York","New York County, NY","Securities/Futures","Mass-Marketing","SEC","Credit Card","Funds Transfer","2"
"2020 January","New York","New York County, NY","Securities/Futures","Mass-Marketing","SEC","Credit Card","[Total]","2"
"2020 January","New York","New York County, NY","Securities/Futures","Mass-Marketing","[Total]","Credit Card","[Total]","2"
"2020 January","New York","New York County, NY","Securities/Futures","Provided Questionable or False Documentation","SEC","Credit Card","Funds Transfer","1"
"2020 January","New York","New York County, NY","Securities/Futures","Provided Questionable or False Documentation","SEC","Credit Card","[Total]","1"
"2020 January","New York","New York County, NY","Securities/Futures","Provided Questionable or False Documentation","[Total]","Credit Card","[Total]","1"
"2020 January","New York","New York County, NY","Securities/Futures","Suspicious EFT/Wire Transfers","SEC","Credit Card","Funds Transfer","1"
"2020 January","New York","New York County, NY","Securities/Futures","Suspicious EFT/Wire Transfers","SEC","Credit Card","Personal/Business Check","1"
"2020 January","New York","New York County, NY","Securities/Futures","Suspicious EFT/Wire Transfers","SEC","Credit Card","[Total]","2"
"2020 January","New York","New York County, NY","Securities/Futures","Suspicious EFT/Wire Transfers","[Total]","Credit Card","[Total]","2"
"2020 January","New York","New York County, NY","Securities/Futures","Wire","SEC","Credit Card","Funds Transfer","1"
"2020 January","New York","New York County, NY","Securities/Futures","Wire","SEC","Credit Card","[Total]","1"
"2020 January","New York","New York County, NY","Securities/Futures","Wire","[Total]","Credit Card","[Total]","1"
"2020 January","New York","New York County, NY","Securities/Futures","[Total]","[Total]","Credit Card","[Total]","19"
"2020 January","New York","New York County, NY","[Total]","[Total]","[Total]","Credit Card","[Total]","19"
"2020 January","New York","[Total]","[Total]","[Total]","[Total]","Credit Card","[Total]","19"
"2020 January","Wisconsin","Dane County, WI","Securities/Futures","Suspicious Use of Multiple Accounts","FDIC","Credit Card","U.S. Currency","1"
"2020 January","Wisconsin","Dane County, WI","Securities/Futures","Suspicious Use of Multiple Accounts","FDIC","Credit Card","[Total]","1"
"2020 January","Wisconsin","Dane County, WI","Securities/Futures","Suspicious Use of Multiple Accounts","[Total]","Credit Card","[Total]","1"
"2020 January","Wisconsin","Dane County, WI","Securities/Futures","Suspicious use of multiple transaction locations","FDIC","Credit Card","U.S. Currency","1"
"2020 January","Wisconsin","Dane County, WI","Securities/Futures","Suspicious use of multiple transaction locations","FDIC","Credit Card","[Total]","1"
"2020 January","Wisconsin","Dane County, WI","Securities/Futures","Suspicious use of multiple transaction locations","[Total]","Credit Card","[Total]","1"
"2020 January","Wisconsin","Dane County, WI","Securities/Futures","Transaction with No Apparent Economic, Business, or Lawful Purpose","FDIC","Credit Card","U.S. Currency","1"
"2020 January","Wisconsin","Dane County, WI","Securities/Futures","Transaction with No Apparent Economic, Business, or Lawful Purpose","FDIC","Credit Card","[Total]","1"
"2020 January","Wisconsin","Dane County, WI","Securities/Futures","Transaction with No Apparent Economic, Business, or Lawful Purpose","[Total]","Credit Card","[Total]","1"
"2020 January","Wisconsin","Dane County, WI","Securities/Futures","Transaction(s) Below CTR Threshold","FDIC","Credit Card","U.S. Currency","1"
"2020 January","Wisconsin","Dane County, WI","Securities/Futures","Transaction(s) Below CTR Threshold","FDIC","Credit Card","[Total]","1"
"2020 January","Wisconsin","Dane County, WI","Securities/Futures","Transaction(s) Below CTR Threshold","[Total]","Credit Card","[Total]","1"
"2020 January","Wisconsin","Dane County, WI","Securities/Futures","[Total]","[Total]","Credit Card","[Total]","4"
"2020 January","Wisconsin","Dane County, WI","[Total]","[Total]","[Total]","Credit Card","[Total]","4"
"2020 January","Wisconsin","[Total]","[Total]","[Total]","[Total]","Credit Card","[Total]","4"
"2020 January","[Total]","[Total]","[Total]","[Total]","[Total]","Credit Card","[Total]","109"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Account Takeover","SEC","Credit Card","Funds Transfer","1"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Account Takeover","SEC","Credit Card","U.S. Currency","1"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Account Takeover","SEC","Credit Card","[Total]","2"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Account Takeover","[Total]","Credit Card","[Total]","2"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Elder Financial Exploitation","SEC","Credit Card","Funds Transfer","1"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Elder Financial Exploitation","SEC","Credit Card","U.S. Currency","1"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Elder Financial Exploitation","SEC","Credit Card","[Total]","2"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Elder Financial Exploitation","[Total]","Credit Card","[Total]","2"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Other Fraud (Type)","SEC","Credit Card","Funds Transfer","1"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Other Fraud (Type)","SEC","Credit Card","U.S. Currency","1"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Other Fraud (Type)","SEC","Credit Card","[Total]","2"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Other Fraud (Type)","[Total]","Credit Card","[Total]","2"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Ponzi Scheme","FRB","Credit Card","Funds Transfer","1"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Ponzi Scheme","FRB","Credit Card","Money Orders","1"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Ponzi Scheme","FRB","Credit Card","Personal/Business Check","1"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Ponzi Scheme","FRB","Credit Card","U.S. Currency","1"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Ponzi Scheme","FRB","Credit Card","[Total]","4"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Ponzi Scheme","[Total]","Credit Card","[Total]","4"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Suspicion Concerning the Source of Funds","FRB","Credit Card","Funds Transfer","1"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Suspicion Concerning the Source of Funds","FRB","Credit Card","Money Orders","1"
"2020 February","Arizona","Maricopa County, AZ","Securities/Futures","Suspicion Concerning the Source of Funds","FRB","Credit Card","Personal/Business Check","1"
